ID,Heating SP,Cooling SP,Blind 1,Blind 2,Window 1,Window 2
197,27,28,0,0,1,0
198,17,18,0,0,1,1
199,17,19,0,0,1,1
200,17,20,0,0,1,1
201,17,21,0,0,1,1
202,17,22,0,0,1,1
203,17,23,0,0,1,1
204,17,24,0,0,1,1
205,17,25,0,0,1,1
206,17,26,0,0,1,1
207,17,27,0,0,1,1
208,17,28,0,0,1,1
209,18,19,0,0,1,1
210,18,20,0,0,1,1
211,18,21,0,0,1,1
212,18,22,0,0,1,1
213,18,23,0,0,1,1
214,18,24,0,0,1,1
215,18,25,0,0,1,1
216,18,26,0,0,1,1
217,18,27,0,0,1,1
218,18,28,0,0,1,1
219,19,20,0,0,1,1
220,19,21,0,0,1,1
221,19,22,0,0,1,1
222,19,23,0,0,1,1
223,19,24,0,0,1,1
224,19,25,0,0,1,1
225,19,26,0,0,1,1
226,19,27,0,0,1,1
227,19,28,0,0,1,1
228,20,21,0,0,1,1
229,20,22,0,0,1,1
230,20,23,0,0,1,1
231,20,24,0,0,1,1
232,20,25,0,0,1,1
233,20,26,0,0,1,1
234,20,27,0,0,1,1
235,20,28,0,0,1,1
236,21,22,0,0,1,1
237,21,23,0,0,1,1
238,21,24,0,0,1,1
239,21,25,0,0,1,1
240,21,26,0,0,1,1
241,21,27,0,0,1,1
242,21,28,0,0,1,1
243,22,23,0,0,1,1
244,22,24,0,0,1,1
245,22,25,0,0,1,1
246,22,26,0,0,1,1
247,22,27,0,0,1,1
248,22,28,0,0,1,1
249,23,24,0,0,1,1
250,23,25,0,0,1,1
251,23,26,0,0,1,1
252,23,27,0,0,1,1
253,23,28,0,0,1,1
254,24,25,0,0,1,1
255,24,26,0,0,1,1
256,24,27,0,0,1,1
257,24,28,0,0,1,1
258,25,26,0,0,1,1
259,25,27,0,0,1,1
260,25,28,0,0,1,1
261,26,27,0,0,1,1
262,26,28,0,0,1,1
263,27,28,0,0,1,1
264,17,18,0,1,0,0
265,17,19,0,1,0,0
266,17,20,0,1,0,0
267,17,21,0,1,0,0
268,17,22,0,1,0,0
269,17,23,0,1,0,0
270,17,24,0,1,0,0
271,17,25,0,1,0,0
272,17,26,0,1,0,0
273,17,27,0,1,0,0
274,17,28,0,1,0,0
275,18,19,0,1,0,0
276,18,20,0,1,0,0
277,18,21,0,1,0,0
